route_id,service_id,trip_id,direction_id,shape_id
"004","30_316728","30_752863","1","3392109077"
"004","30_316728","30_752864","1","3392109077"
"004","30_316728","30_752865","1","3392109077"
"004","30_316728","30_752866","1","1492166200"
"004","30_316728","30_752867","1","3392109077"
"004","30_316728","30_752868","1","1492166200"
"004","30_316728","30_752869","1","3392109077"
"004","30_316728","30_752870","1","1492166200"
"004","30_316728","30_752871","0","666088192"
"004","30_316728","30_752872","0","514950346"
"004","30_316728","30_752873","0","666088192"
"004","30_316728","30_752874","0","666088192"
"004","30_316728","30_752875","0","2306968862"
"004","30_316728","30_752876","0","2155843552"
"004","30_316728","30_752877","0","2306968862"
"004","30_316728","30_752878","0","2155843552"
"004","30_316728","30_752879","0","2306968862"
"004","30_316728","30_752880","0","2155843552"
"004","30_316728","30_752881","0","2306968862"
"004","30_316728","30_752882","0","2155843552"
"004","30_316728","30_752883","0","2306968862"
"004","30_316728","30_752884","0","2155843552"
"004","30_316728","30_752885","0","2306968862"
"004","30_316728","30_752886","0","2155843552"
"004","30_316728","30_752887","0","2306968862"
"004","30_316728","30_752888","0","2155843552"
"004","30_316728","30_752889","0","2306968862"
"004","30_316728","30_752890","0","2155843552"
"004","30_316728","30_752891","0","2306968862"
"004","30_316728","30_752892","0","2155843552"
"004","30_316728","30_752893","0","2306968862"
"004","30_316728","30_752894","0","2306968862"
"004","30_316728","30_752895","0","2155843552"
"004","30_316728","30_752896","0","2306968862"
"004","30_316728","30_752897","0","2306968862"
"004","30_316728","30_752898","0","2155843552"
"004","30_316728","30_752899","0","2155843552"
"004","30_316729","30_753559","1","1492166200"
"004","30_316729","30_753560","0","666088192"
"004","30_316729","30_753561","0","514950346"
"004","30_316729","30_753562","0","94686529"
"004","30_316729","30_753563","0","2306968862"
"004","30_316729","30_753564","0","2306968862"
"004","30_316729","30_753565","0","2155843552"
"004","30_316729","30_753566","0","2155843552"
"004","30_316729","30_753567","0","2155843552"
"004","30_316729","30_753568","0","2155843552"
"004","30_316729","30_753569","0","646100932"
"004","30_316729","30_753570","1","3392109077"
"004","30_316729","30_753571","1","3392109077"
"004","30_316729","30_753572","1","3392109077"
"004","30_316729","30_753573","1","3392109077"
"004","30_316729","30_753574","1","3392109077"
"004","30_316729","30_753575","1","142955195"
"004","30_316729","30_753576","1","205941579"
"004","30_316729","30_753577","1","1492166200"
"004","30_316729","30_753578","1","1492166200"
"004","30_316729","30_753579","1","1492166200"
"004","30_316729","30_753580","1","1492166200"
"004","30_316729","30_753581","1","1492166200"
"004","30_316729","30_753582","0","2306968862"
"004","30_316729","30_753583","0","2306968862"
"004","30_316729","30_753584","0","2306968862"
"004","30_316729","30_753585","0","2155843552"
"004","30_316729","30_753586","0","2155843552"
"004","30_316730","30_753612","1","3558462755"
"004","30_316730","30_753613","1","2944970980"
"004","30_316730","30_753614","1","3063571418"
"004","30_316730","30_753615","0","1871830318"
"004","30_316730","30_753616","0","4098911189"
"004","30_316730","30_753617","0","2813372556"
"005","30_317430","30_752457","0","1521508710"
"005","30_317430","30_752458","0","1521508710"
"005","30_317430","30_752459","1","2614103849"
"005","30_317430","30_752608","1","2865081266"
"005","30_317430","30_752609","1","2614103849"
"005","30_317430","30_752610","0","1521508710"
"005","30_317430","30_752611","0","3921726753"
"005","30_317430","30_752612","1","2865081266"
"005","30_317430","30_752613","0","1521508710"
"005","30_317430","30_752614","1","2614103849"
"005","30_317430","30_752615","0","1521508710"
"005","30_317430","30_752616","1","2865081266"
"005","30_317430","30_752617","0","3921726753"
"005","30_317430","30_752618","1","2865081266"
"005","30_317430","30_752619","0","1521508710"
"005","30_317430","30_752620","0","1521508710"
"005","30_317430","30_754345","1","2865081266"
"005","30_317430","30_754346","1","2865081266"
"005","30_317430","30_754347","0","3921726753"
"005","30_317430","30_754348","0","1521508710"
"005","30_317430","30_754349","1","2865081266"
"005","30_317430","30_754350","1","2614103849"
"005","30_317430","30_754351","1","2865081266"
"005","30_317430","30_754352","0","1521508710"
"005","30_317430","30_754353","0","3921726753"
"005","30_317430","30_754354","0","1521508710"
"005","30_317430","30_754355","1","2865081266"
"005","30_317430","30_754356","1","2865081266"
"005","30_317430","30_754357","0","1521508710"
"005","30_317430","30_754358","0","1521508710"
"005","30_317430","30_754359","1","2865081266"
"005","30_317430","30_754360","1","2865081266"
"005","30_317430","30_754361","0","1521508710"
"005","30_317430","30_754362","1","2865081266"
"005","30_317430","30_754363","1","2865081266"
"005","30_317430","30_754364","0","1521508710"
"005","30_317430","30_754365","0","1521508710"
"005","30_317431","30_754888","0","422883675"
"005","30_317431","30_754889","0","422883675"
"005","30_317431","30_754890","1","1887544360"
"005","30_317431","30_754891","1","1887544360"
"005","30_318292","30_755107","1","2614103849"
"005","30_318292","30_755108","0","3921726753"
"006","30_317628","30_752717","1","468864006"
"006","30_317626","30_753473","0","2967183653"
"006","30_317626","30_753474","0","2967183653"
"006","30_317626","30_753475","0","2967183653"
"006","30_317626","30_753476","0","2967183653"
"006","30_317626","30_753477","0","2967183653"
"006","30_317626","30_753478","0","2967183653"
"006","30_317626","30_753479","0","2967183653"
"006","30_317626","30_753480","0","2967183653"
"006","30_317626","30_753481","0","2967183653"
"006","30_317626","30_753482","0","2967183653"
"006","30_317626","30_753483","0","2967183653"
"006","30_317626","30_753484","0","2967183653"
"006","30_317626","30_753485","0","2967183653"
"006","30_317626","30_753486","0","2967183653"
"006","30_317626","30_753487","0","2967183653"
"006","30_317626","30_753488","0","2967183653"
"006","30_317626","30_753489","0","2967183653"
"006","30_317626","30_753490","0","2967183653"
"006","30_317626","30_753491","0","2967183653"
