service_id,date,exception_type
"30_317564","20150528","1"
"30_317564","20150529","1"
"30_317564","20150530","1"
"30_317564","20150601","1"
"30_317564","20150603","1"
"30_317564","20150604","1"
"30_317564","20150605","1"
"30_317564","20150606","1"
"30_317564","20150608","1"
"30_317564","20150609","1"
"30_317564","20150610","1"
"30_317564","20150914","1"
"30_317564","20150915","1"
"30_317564","20150916","1"
"30_317564","20150917","1"
"30_317564","20150918","1"
"30_317564","20150919","1"
"30_317564","20150921","1"
"30_317564","20150922","1"
"30_317564","20150923","1"
"30_317564","20150924","1"
"30_317564","20150925","1"
"30_317564","20150926","1"
"30_317564","20150928","1"
"30_317564","20150929","1"
"30_317564","20150930","1"
"30_317564","20151001","1"
"30_317564","20151002","1"
"30_317564","20151003","1"
"30_317564","20151005","1"
"30_317564","20151006","1"
"30_317564","20151007","1"
"30_317564","20151008","1"
"30_317564","20151009","1"
"30_317564","20151010","1"
"30_317564","20151012","1"
"30_317564","20151013","1"
"30_317564","20151014","1"
"30_317564","20151015","1"
"30_317564","20151016","1"
"30_317564","20151017","1"
"30_317564","20151019","1"
"30_317564","20151020","1"
"30_317564","20151021","1"
"30_317564","20151022","1"
"30_317564","20151023","1"
"30_317564","20151024","1"
"30_317564","20151026","1"
"30_317564","20151027","1"
"30_317564","20151028","1"
"30_317564","20151029","1"
"30_317564","20151030","1"
"30_317564","20151031","1"
"30_317564","20151102","1"
"30_317564","20151103","1"
"30_317564","20151104","1"
"30_317564","20151105","1"
"30_317564","20151106","1"
"30_317564","20151107","1"
"30_317564","20151109","1"
"30_317564","20151110","1"
"30_317564","20151111","1"
"30_317564","20151112","1"
"30_317564","20151113","1"
"30_317564","20151114","1"
"30_317564","20151116","1"
"30_317564","20151117","1"
"30_317564","20151118","1"
"30_317564","20151119","1"
"30_317564","20151120","1"
"30_317564","20151121","1"
"30_317564","20151123","1"
"30_317564","20151124","1"
"30_317564","20151125","1"
"30_317564","20151126","1"
"30_317564","20151127","1"
"30_317564","20151128","1"
"30_317564","20151130","1"
"30_317564","20151201","1"
"30_317564","20151202","1"
"30_317564","20151203","1"
"30_317564","20151204","1"
"30_317564","20151205","1"
"30_317564","20151207","1"
"30_317564","20151209","1"
"30_317564","20151210","1"
"30_317564","20151211","1"
"30_317564","20151212","1"
"30_317564","20151214","1"
"30_317564","20151215","1"
"30_317564","20151216","1"
"30_317564","20151217","1"
"30_317564","20151218","1"
"30_317564","20151219","1"
"30_317564","20151221","1"
"30_317572","20141210","1"
"30_317572","20141211","1"
"30_317572","20141212","1"
"30_317572","20141213","1"
"30_317572","20141215","1"
"30_317572","20141216","1"
"30_317572","20141217","1"
"30_317572","20141218","1"
"30_317572","20141219","1"
"30_317572","20141220","1"
"30_317572","20141222","1"
"30_317572","20141223","1"
"30_317572","20141227","1"
"30_317572","20141229","1"
"30_317572","20141230","1"
"30_317572","20150102","1"
"30_317572","20150103","1"
"30_317572","20150105","1"
"30_317572","20150107","1"
